ticker,sector,yearly_return,avg_price,avg_volume,avg_volatility,max_drawdown,sharpe_ratio,total_trading_days
ADANIENT,Materials,-6.670855586972458,2953.0640845070425,2356295.1056338027,0.35956245546181215,-0.4009601536245797,-0.008960669152751085,284
ADANIPORTS,Services,36.72720712051961,1261.9670818505338,4347815.832740214,0.32954507774759184,-0.2851303336163258,0.8034142750457798,281
APOLLOHOSP,Healthcare,27.28879946082694,5878.0974619289345,454184.5228426396,0.22080038458578238,-0.12636825719068873,1.2862831908227519,197
ASIANPAINT,Consumer Goods,-21.93504586576567,3019.3827464788733,1214614.3450704226,0.18322911523709523,-0.28677172524196376,-1.243757763817645,284
AXISBANK,Financial Services,9.73536333509439,1126.4659010600706,9488989.879858658,0.24095313987668832,-0.14514537311166784,0.25676048438279925,283
BAJAJ-AUTO,Automobile,28.86702747959215,5648.231896551723,481355.7931034483,0.21006100863141242,-0.04189058714225875,4.780787390330881,58
BAJAJFINSV,Financial Services,2.5495659972454408,1653.2320422535213,1569381.8943661973,0.21286179933073163,-0.21955040533147688,-0.011209053542042944,284
BAJFINANCE,Financial Services,-2.008138644923198,6519.418181818181,1169005.9090909092,0.20706852067812317,-0.04427854292701767,-0.9765818539344302,33
BEL,Services,101.7600574712644,226.80352697095435,20649654.0373444,0.3382465464797081,-0.20312965722801793,2.096304718786117,241
BHARTIARTL,Telecommunications,69.599048957095,1292.7936395759716,6037762.265017668,0.21375404921403124,-0.1388684998023824,2.0554585530101446,283
BPCL,Energy,67.47715022263885,285.13822222222217,14435805.377777778,0.3618953360093399,-0.23665360183808629,1.3088311992569401,270
BRITANNIA,Consumer Goods,7.850159605823678,5250.817077464788,345995.8591549296,0.18990273119093679,-0.2548382342674969,0.18718897742098706,284
CIPLA,Healthcare,25.67636117686845,1430.2302816901408,1817625.088028169,0.24827353263235794,-0.15605474561142513,0.7206603068463806,284
COALINDIA,Energy,41.846522781774596,435.4297872340426,11651362.092198582,0.3178025345645244,-0.24870466321243495,0.9776466115453201,282
DRREDDY,Healthcare,11.178753867843358,1232.324823943662,2062054.764084507,0.19321207809960142,-0.15500286727693655,0.3225679560575259,284
EICHERMOT,Automobile,48.77961448946708,4321.183802816901,635657.5774647887,0.24796082270886124,-0.134893011350724,1.3158963323761919,284
GRASIM,Materials,35.781988044977645,2354.8679577464786,800653.352112676,0.22484591994387104,-0.11985934065934056,1.0833733019951517,284
HCLTECH,Information Technology,53.25744732380721,1541.2547535211268,2979915.7077464787,0.22102366687358402,-0.2270220588235297,1.5689561288410152,284
HDFCBANK,Financial Services,15.752130234408671,1580.5343866171004,17362721.7732342,0.20086968359467489,-0.18677782653210454,0.5160815464634165,269
HDFCLIFE,Financial Services,8.625996369663024,642.3647887323943,4379828.309859155,0.22757856371990892,-0.24443344878772919,0.2174554466504635,284
HEROMOTOCO,Automobile,58.97665472874388,4686.789612676055,732722.8732394367,0.2513015105945983,-0.2699194740370399,1.5116426929580142,284
HINDALCO,Materials,35.86831961662674,609.3469964664312,6859726.908127208,0.29741230708209143,-0.183387358184765,0.8746852076478406,283
HINDUNILVR,Consumer Goods,-0.9579164810239414,2533.715845070423,1872679.852112676,0.18039971172620112,-0.2132208482607186,-0.2102746921483223,284
ICICIBANK,Financial Services,35.91938742954376,1109.6032258064515,14131324.781362006,0.1869078205724441,-0.07979383770362296,1.3056456918405974,279
INDUSINDBK,Financial Services,-30.458408805907762,1443.6975177304962,3611732.276595745,0.26592405377961487,-0.41886490807354143,-1.1015311363495195,282
INFY,Information Technology,32.6534170153417,1629.8769366197184,6755539.116197183,0.22060051433657407,-0.19416577524646603,0.9907781726801749,284
ITC,Consumer Goods,7.936327458783395,455.05233812949643,13113408.694244605,0.17646862796148552,-0.1548454688318488,0.19722470667577807,278
JSWSTEEL,Materials,26.88737422914638,874.2934859154929,2225052.3274647887,0.2542083601025844,-0.1137034514078107,0.753132351407888,284
KOTAKBANK,Financial Services,1.9918357893517904,1773.4174911660778,5121173.671378092,0.21878036771088732,-0.194993103807218,-0.019311152617376683,283
LT,Construction,17.253721630196047,3483.0461267605638,2418356.5035211267,0.25696191932281726,-0.147615945805107,0.47716029458897213,284
M&M,Automobile,95.97697411213734,2251.2454225352117,3093708.2007042253,0.3003680365755916,-0.15233384466080202,1.9539793911146202,284
NESTLEIND,Consumer Goods,0.707141320714141,2490.1184859154932,932418.3204225352,0.19125485354018953,-0.20783886771910687,-0.12106963329247518,284
NTPC,Utilities,51.51326699834162,345.41836363636367,15438358.792727273,0.2866842051743968,-0.1964124548736462,1.2720225060440609,275
ONGC,Energy,33.04442036836403,259.450184501845,16785974.361623615,0.31471221897572693,-0.2914411119239214,0.8224166120272142,271
POWERGRID,Utilities,68.8549235780506,287.1690909090909,16335880.770909091,0.25010226403610036,-0.14612122041318912,1.8016103057340045,275
RELIANCE,Energy,9.172792214514974,1388.0597535211266,12572108.193661971,0.20376417412512063,-0.23605471922043855,0.23807250019734164,284
SBILIFE,Financial Services,14.909667685403694,1528.8788732394366,1349238.2605633803,0.2364926515909957,-0.233686775723952,0.42675117044222505,284
SBIN,Financial Services,35.34289742101333,741.4357913669064,16245643.75179856,0.22286916170592908,-0.13983548766157522,1.082467306301835,278
SHRIRAMFIN,Financial Services,48.28949764562034,2571.638204225352,1420213.38028169,0.33917579455016234,-0.22771431327426325,1.0452433030251702,284
SUNPHARMA,Healthcare,57.28240395987558,1527.812676056338,2198935.017605634,0.1817402279083264,-0.12238760165720475,1.991034719350398,284
