ticker,date,open,high,low,close,volume,sector,daily_return,cumulative_return,ma_5,ma_20,ma_50,volatility,rsi,bb_middle,bb_upper,bb_lower
ADANIENT,2023-10-03 05:30:00,2418.0,2424.9,2372.0,2387.25,2019899,Materials,,,,,,,,,,
ADANIENT,2023-10-04 05:30:00,2402.2,2502.75,2392.25,2464.95,2857377,Materials,0.03254791077599739,0.03254791077599739,,,,,,,,
ADANIENT,2023-10-05 05:30:00,2477.95,2486.5,2446.4,2466.35,1132455,Materials,0.0005679628390029556,0.033134359618808285,,,,,,,,
ADANIENT,2023-10-06 05:30:00,2466.35,2514.95,2466.05,2478.1,1510035,Materials,0.004764125124171237,0.038056340978112724,,,,,,,,
ADANIENT,2023-10-09 05:30:00,2440.0,2459.7,2411.3,2442.6,1408224,Materials,-0.014325491303821436,0.023185673892553993,2447.85,,,,,,,
ADANIENT,2023-10-10 05:30:00,2443.0,2517.95,2443.0,2498.3,1771910,Materials,0.022803569966429293,0.04651795999581099,2470.06,,,,,,,
ADANIENT,2023-10-11 05:30:00,2533.9,2538.0,2482.5,2488.6,1627836,Materials,-0.0038826401953329093,0.04245470729919343,2474.79,,,,,,,
ADANIENT,2023-10-12 05:30:00,2499.9,2521.75,2490.65,2506.35,1804818,Materials,0.007132524310857535,0.049890040841972905,2482.79,,,,,,,
ADANIENT,2023-10-13 05:30:00,2488.9,2495.0,2422.35,2454.55,2278682,Materials,-0.020667504538472214,0.028191433657974718,2478.08,,,,,,,
ADANIENT,2023-10-16 05:30:00,2454.55,2464.7,2421.85,2429.35,803856,Materials,-0.010266647654356253,0.01763535448738085,2475.43,,,,,,,
ADANIENT,2023-10-17 05:30:00,2459.95,2462.0,2423.5,2428.4,707543,Materials,-0.00039105110420478706,0.017237407058330767,2461.45,,,,,,,
ADANIENT,2023-10-18 05:30:00,2440.0,2441.75,2401.05,2406.35,776977,Materials,-0.009080052709603104,0.008000837784061243,2445.0,,,,,,,
ADANIENT,2023-10-19 05:30:00,2400.0,2414.7,2382.55,2402.2,1168822,Materials,-0.0017246036528352215,0.006262435857157911,2424.1699999999996,,,,,,,
ADANIENT,2023-10-20 05:30:00,2398.05,2443.95,2382.05,2393.75,1240350,Materials,-0.0035176088585462395,0.002722798198764531,2412.0099999999998,,,,51.00900341508847,,,
ADANIENT,2023-10-23 05:30:00,2397.8,2412.35,2301.8,2308.65,1483549,Materials,-0.035550913838120035,-0.032924913603518347,2387.87,,,,40.348722986247566,,,
ADANIENT,2023-10-25 05:30:00,2320.0,2348.05,2235.3,2257.0,1540819,Materials,-0.022372382128083568,-0.05456068698292982,2353.59,,,,22.720713629804592,,,
ADANIENT,2023-10-26 05:30:00,2249.0,2249.0,2167.05,2203.2,2226073,Materials,-0.023836951705804243,-0.07709707822808642,2312.96,,,,19.651712605235886,,,
ADANIENT,2023-10-27 05:30:00,2222.0,2275.0,2212.0,2261.7,1244293,Materials,0.026552287581699252,-0.05259189443920809,2284.8599999999997,,,,27.472413075161384,,,
ADANIENT,2023-10-30 05:30:00,2260.05,2305.0,2250.0,2299.1,996448,Materials,0.01653623380642877,-0.03692533249554908,2265.9299999999994,,,,35.120282040647055,,,
ADANIENT,2023-10-31 05:30:00,2320.0,2320.0,2276.0,2294.65,1155280,Materials,-0.0019355399939106066,-0.038789402031626063,2263.13,2393.57,,,26.37196890590556,2393.57,2575.5777077604425,2211.562292239558
ADANIENT,2023-11-01 05:30:00,2299.0,2312.25,2207.0,2217.3,1666579,Materials,-0.03370884448608713,-0.07119070059692079,2255.1899999999996,2385.0724999999998,,0.2982694492714197,22.793822703570015,2385.0724999999998,2583.455090160899,2186.6899098391004
ADANIENT,2023-11-02 05:30:00,2247.0,2297.95,2204.2,2215.3,2340997,Materials,-0.0009019979254047961,-0.0720284846580791,2257.61,2372.59,,0.26657375756231405,19.861240550895758,2372.59,2580.9749565234097,2164.2050434765906
ADANIENT,2023-11-03 05:30:00,2215.3,2279.0,2215.0,2229.85,1853300,Materials,0.006567959192885775,-0.06593360561315298,2251.2400000000002,2360.765,,0.2691312622776036,24.7868043087971,2360.765,2573.542390716213,2147.9876092837867
ADANIENT,2023-11-06 05:30:00,2253.95,2260.0,2233.0,2246.0,770061,Materials,0.007242639639437609,-0.05916849931930024,2240.6200000000003,2349.16,,0.2704510593280622,29.00011453441759,2349.16,2560.3035121826906,2138.016487817309
