ticker,date,open,high,low,close,volume
GRASIM,2023-10-03 05:30:00,1920.46,1931.32,1899.1,1913.84,591326
GRASIM,2023-10-04 05:30:00,1898.45,1902.44,1869.62,1888.34,687673
GRASIM,2023-10-05 05:30:00,1889.59,1901.44,1873.55,1882.67,544715
GRASIM,2023-10-06 05:30:00,1882.62,1898.35,1882.52,1895.76,399766
GRASIM,2023-10-09 05:30:00,1882.57,1889.39,1867.67,1881.52,344554
GRASIM,2023-10-10 05:30:00,1885.45,1914.89,1879.03,1911.3,355903
GRASIM,2023-10-11 05:30:00,1928.28,1974.55,1915.98,1972.26,907136
GRASIM,2023-10-12 05:30:00,1983.02,2013.99,1959.06,1993.87,2092103
GRASIM,2023-10-13 05:30:00,1988.05,1992.78,1966.53,1974.75,305238
GRASIM,2023-10-16 05:30:00,1974.75,1992.08,1950.25,1965.88,663031
GRASIM,2023-10-17 05:30:00,1992.08,2012.15,1950.3,1966.63,1306181
GRASIM,2023-10-18 05:30:00,1962.3,1983.07,1943.27,1947.96,580635
GRASIM,2023-10-19 05:30:00,1944.32,1971.01,1920.17,1967.88,707175
GRASIM,2023-10-20 05:30:00,1964.59,1969.32,1931.67,1938.64,488086
GRASIM,2023-10-23 05:30:00,1931.52,1931.52,1877.54,1895.22,871261
GRASIM,2023-10-25 05:30:00,1893.57,1912.45,1861.55,1870.02,732497
GRASIM,2023-10-26 05:30:00,1859.71,1866.58,1832.27,1842.23,1132065
GRASIM,2023-10-27 05:30:00,1849.7,1862.59,1842.77,1848.65,287242
GRASIM,2023-10-30 05:30:00,1848.65,1874.85,1820.81,1871.36,510462
GRASIM,2023-10-31 05:30:00,1872.65,1884.46,1857.61,1879.23,288874
GRASIM,2023-11-01 05:30:00,1886.5,1889.49,1854.03,1861.15,346246
GRASIM,2023-11-02 05:30:00,1871.21,1893.42,1871.21,1890.23,319487
GRASIM,2023-11-03 05:30:00,1895.96,1907.42,1882.86,1888.69,232702
GRASIM,2023-11-06 05:30:00,1894.57,1928.88,1888.69,1911.1,289986
GRASIM,2023-11-07 05:30:00,1912.4,1922.31,1904.48,1913.94,221265
GRASIM,2023-11-08 05:30:00,1921.36,1935.31,1912.4,1926.19,423880
GRASIM,2023-11-09 05:30:00,1929.73,1936.85,1922.36,1927.34,287673
GRASIM,2023-11-10 05:30:00,1922.41,1940.09,1913.59,1935.31,192125
GRASIM,2023-11-12 05:30:00,1942.18,1942.18,1934.06,1938.39,51126
GRASIM,2023-11-13 05:30:00,1938.19,1938.19,1914.39,1921.21,212493
GRASIM,2023-11-15 05:30:00,1939.29,1956.52,1927.34,1936.25,964482
GRASIM,2023-11-16 05:30:00,1941.98,1947.11,1906.27,1934.91,946968
GRASIM,2023-11-17 05:30:00,1933.36,1975.74,1932.67,1962.75,842693
GRASIM,2023-11-20 05:30:00,1963.79,1970.32,1945.37,1964.49,285035
GRASIM,2023-11-21 05:30:00,1964.84,1980.13,1961.2,1969.62,315462
GRASIM,2023-11-22 05:30:00,1971.96,1977.04,1950.99,1966.28,312634
GRASIM,2023-11-23 05:30:00,1976.24,1976.24,1943.67,1949.15,433991
GRASIM,2023-11-24 05:30:00,1956.12,1961.65,1937.75,1941.68,167353
GRASIM,2023-11-28 05:30:00,1955.23,1979.13,1945.52,1968.08,693564
GRASIM,2023-11-29 05:30:00,1980.23,2001.04,1973.21,1995.32,817705
GRASIM,2023-11-30 05:30:00,1998.06,2022.96,1982.37,1997.51,1693576
GRASIM,2023-12-01 05:30:00,2011.95,2030.93,2000.05,2008.07,924834
GRASIM,2023-12-04 05:30:00,2066.78,2067.78,2020.42,2044.82,1047438
GRASIM,2023-12-05 05:30:00,2049.75,2069.77,2030.43,2064.14,556954
GRASIM,2023-12-06 05:30:00,2071.61,2076.74,2037.45,2049.6,357781
GRASIM,2023-12-07 05:30:00,2049.6,2080.73,2037.5,2073.51,421441
GRASIM,2023-12-08 05:30:00,2071.76,2090.99,2034.56,2061.85,590085
GRASIM,2023-12-11 05:30:00,2063.79,2079.98,2059.91,2075.8,252798
GRASIM,2023-12-12 05:30:00,2081.72,2120.57,2067.38,2072.51,768374
GRASIM,2023-12-13 05:30:00,2072.66,2084.66,2029.23,2075.7,799207
GRASIM,2023-12-14 05:30:00,2086.65,2103.59,2073.71,2095.57,602310
GRASIM,2023-12-15 05:30:00,2107.62,2124.3,2093.68,2119.27,721459
GRASIM,2023-12-18 05:30:00,2119.27,2119.27,2093.68,2101.4,311622
GRASIM,2023-12-19 05:30:00,2098.71,2129.33,2080.93,2109.86,315450
GRASIM,2023-12-20 05:30:00,2125.55,2127.14,2045.42,2055.38,673592
GRASIM,2023-12-21 05:30:00,2041.88,2082.57,2041.88,2077.34,441717
GRASIM,2023-12-22 05:30:00,2080.73,2088.3,2026.84,2038.1,998065
GRASIM,2023-12-26 05:30:00,2042.88,2074.75,2040.89,2061.35,638720
GRASIM,2023-12-27 05:30:00,2070.72,2122.41,2063.4,2116.39,1128919
GRASIM,2023-12-28 05:30:00,2120.57,2139.74,2097.96,2131.48,1055579
GRASIM,2023-12-29 05:30:00,2131.82,2136.51,2106.62,2126.35,646225
GRASIM,2024-01-01 05:30:00,2136.51,2166.39,2103.64,2118.88,801280
GRASIM,2024-01-02 05:30:00,2121.47,2121.96,2079.73,2093.13,793613
GRASIM,2024-01-03 05:30:00,2081.72,2111.6,2057.92,2063.99,967324
GRASIM,2024-01-04 05:30:00,2081.72,2086.7,2051.24,2062.0,954901
GRASIM,2024-01-05 05:30:00,2089.69,2090.69,2045.42,2071.27,1080483
GRASIM,2024-01-08 05:30:00,2071.27,2075.45,2049.75,2059.51,555101
GRASIM,2024-01-09 05:30:00,2073.9,2084.46,2050.7,2055.88,1207197
GRASIM,2024-01-10 05:30:00,2058.8,2074.45,2040.85,2068.55,325322
GRASIM,2024-01-11 05:30:00,2069.95,2096.3,2051.0,2083.7,887806
GRASIM,2024-01-12 05:30:00,2083.0,2120.9,2075.0,2111.55,485644
GRASIM,2024-01-15 05:30:00,2111.75,2122.95,2093.7,2101.0,202260
GRASIM,2024-01-16 05:30:00,2092.55,2119.8,2090.1,2115.2,457403
GRASIM,2024-01-17 05:30:00,2112.6,2115.2,2056.0,2067.85,733818
GRASIM,2024-01-18 05:30:00,2067.0,2069.0,2036.2,2053.65,877519
