ticker,date,open,high,low,close,volume
SBIN,2023-10-03 05:30:00,596.6,604.9,589.6,602.95,15322196
SBIN,2023-10-04 05:30:00,600.0,600.45,584.45,586.25,24914612
SBIN,2023-10-05 05:30:00,590.0,594.35,587.1,592.15,13248028
SBIN,2023-10-06 05:30:00,593.4,598.95,592.2,594.25,8216780
SBIN,2023-10-09 05:30:00,588.0,589.0,581.55,585.1,9189597
SBIN,2023-10-10 05:30:00,587.0,595.0,585.75,591.65,10373508
SBIN,2023-10-11 05:30:00,596.9,597.0,587.6,588.35,14220119
SBIN,2023-10-12 05:30:00,590.8,593.0,585.0,586.05,11983797
SBIN,2023-10-13 05:30:00,577.75,581.3,574.8,576.15,19064577
SBIN,2023-10-16 05:30:00,576.0,578.75,571.5,575.65,11290293
SBIN,2023-10-17 05:30:00,577.7,579.95,575.3,576.45,10765224
SBIN,2023-10-18 05:30:00,577.75,579.25,569.35,572.65,11777454
SBIN,2023-10-19 05:30:00,569.8,574.0,567.0,571.2,11441499
SBIN,2023-10-20 05:30:00,569.9,570.0,562.1,563.1,11110988
SBIN,2023-10-23 05:30:00,563.1,566.0,551.0,552.95,11875035
SBIN,2023-10-25 05:30:00,558.6,560.8,553.6,556.2,12134624
SBIN,2023-10-26 05:30:00,551.45,552.9,543.2,547.0,19424825
SBIN,2023-10-27 05:30:00,550.0,562.5,550.0,561.15,10415296
SBIN,2023-10-30 05:30:00,563.0,566.7,556.5,565.2,8593704
SBIN,2023-10-31 05:30:00,567.0,569.5,563.15,565.55,13039696
SBIN,2023-11-01 05:30:00,566.25,569.65,563.85,566.4,13575575
SBIN,2023-11-02 05:30:00,571.1,575.45,567.6,572.1,11148516
SBIN,2023-11-03 05:30:00,576.0,579.5,573.45,578.15,11371371
SBIN,2023-11-06 05:30:00,582.0,582.5,573.25,574.35,16499138
SBIN,2023-11-07 05:30:00,574.8,581.2,572.6,579.75,17923281
SBIN,2023-11-08 05:30:00,581.9,582.6,579.0,580.3,15434808
SBIN,2023-11-09 05:30:00,581.0,581.85,576.5,578.35,12434363
SBIN,2023-11-10 05:30:00,577.8,581.0,575.4,579.5,6773038
SBIN,2023-11-12 05:30:00,584.75,584.75,580.1,581.3,1947722
SBIN,2023-11-13 05:30:00,581.0,582.5,575.2,581.35,11282362
SBIN,2023-11-15 05:30:00,587.25,588.0,582.6,584.7,11397676
SBIN,2023-11-16 05:30:00,584.7,588.0,582.9,584.65,8622660
SBIN,2023-11-17 05:30:00,574.5,574.5,562.1,563.05,37173221
SBIN,2023-11-20 05:30:00,564.0,566.8,560.6,563.75,12714585
SBIN,2023-11-21 05:30:00,566.0,566.65,561.0,561.5,14280013
SBIN,2023-11-22 05:30:00,562.95,564.5,555.15,558.95,14909071
SBIN,2023-11-23 05:30:00,561.75,563.5,558.3,559.95,6376210
SBIN,2023-11-24 05:30:00,561.95,562.45,559.25,560.35,6529851
SBIN,2023-11-28 05:30:00,563.6,565.2,561.1,564.45,8153314
SBIN,2023-11-29 05:30:00,568.0,569.0,565.1,568.6,10299034
SBIN,2023-11-30 05:30:00,569.75,570.2,563.65,564.75,19758998
SBIN,2023-12-01 05:30:00,567.0,574.2,566.55,571.75,10614230
SBIN,2023-12-04 05:30:00,588.0,596.0,584.55,594.7,26077882
SBIN,2023-12-05 05:30:00,595.05,611.3,595.05,608.25,36430152
SBIN,2023-12-06 05:30:00,614.0,614.0,604.55,608.45,21439069
SBIN,2023-12-07 05:30:00,610.0,612.55,605.0,611.7,10725706
SBIN,2023-12-08 05:30:00,610.0,616.8,605.35,614.15,17722136
SBIN,2023-12-11 05:30:00,615.0,619.9,613.1,614.25,11706255
SBIN,2023-12-12 05:30:00,617.0,617.95,610.8,612.4,14494836
SBIN,2023-12-13 05:30:00,614.45,620.5,611.65,619.85,13977914
SBIN,2023-12-14 05:30:00,626.0,627.75,622.4,623.65,15813797
SBIN,2023-12-15 05:30:00,628.0,650.0,619.85,648.25,29813572
SBIN,2023-12-18 05:30:00,646.65,655.65,642.4,648.5,16221796
SBIN,2023-12-19 05:30:00,648.5,659.6,640.25,655.4,19964008
SBIN,2023-12-20 05:30:00,658.7,660.4,633.95,636.45,22542056
SBIN,2023-12-21 05:30:00,632.15,648.95,627.5,643.75,19915516
SBIN,2023-12-22 05:30:00,644.75,649.4,635.15,636.75,14998068
SBIN,2023-12-26 05:30:00,638.85,641.3,635.65,638.05,10153089
SBIN,2023-12-27 05:30:00,640.75,649.45,639.0,648.55,14417646
SBIN,2023-12-28 05:30:00,650.25,653.3,646.5,651.4,16982092
SBIN,2023-12-29 05:30:00,645.5,649.6,639.55,642.05,13221898
SBIN,2024-01-01 05:30:00,642.2,646.9,638.0,641.35,8295548
SBIN,2024-01-02 05:30:00,641.35,648.0,633.85,639.45,15164482
SBIN,2024-01-03 05:30:00,639.35,648.0,635.8,643.45,14571772
SBIN,2024-01-04 05:30:00,642.5,646.4,638.65,642.75,13883388
SBIN,2024-01-05 05:30:00,645.0,651.75,637.75,641.95,15984585
SBIN,2024-01-08 05:30:00,640.0,645.0,625.05,627.0,14739531
SBIN,2024-01-09 05:30:00,632.0,634.35,624.5,625.4,13400235
SBIN,2024-01-10 05:30:00,624.8,625.3,618.2,621.75,12742464
SBIN,2024-01-11 05:30:00,626.0,627.15,618.5,620.2,15533860
SBIN,2024-01-12 05:30:00,623.8,636.5,621.1,633.6,16620797
SBIN,2024-01-15 05:30:00,638.9,645.5,636.1,640.1,16844018
SBIN,2024-01-16 05:30:00,640.0,644.9,633.45,636.9,15025543
SBIN,2024-01-17 05:30:00,624.0,636.8,623.0,626.0,30016308
SBIN,2024-01-18 05:30:00,625.8,633.45,619.05,628.3,14695436
SBIN,2024-01-19 05:30:00,633.0,635.5,624.7,627.75,11675202
SBIN,2024-01-20 05:30:00,629.0,633.8,624.1,631.4,9886760
SBIN,2024-01-23 05:30:00,627.0,634.9,600.65,605.1,30954343
SBIN,2024-01-24 05:30:00,609.95,622.35,603.1,618.3,19221835
SBIN,2024-01-25 05:30:00,618.5,623.8,606.25,612.75,22684904
SBIN,2024-01-29 05:30:00,619.0,629.5,615.6,622.95,19572140
SBIN,2024-01-30 05:30:00,625.45,633.5,624.2,626.75,16966577
SBIN,2024-01-31 05:30:00,626.4,643.2,622.0,640.5,23270745
SBIN,2024-02-01 05:30:00,642.75,652.95,633.25,647.65,26587707
SBIN,2024-02-02 05:30:00,652.0,660.55,646.7,649.65,27471811
SBIN,2024-02-05 05:30:00,647.1,654.8,638.75,642.95,28339525
SBIN,2024-02-06 05:30:00,644.45,655.0,637.7,650.25,14079390
SBIN,2024-02-07 05:30:00,655.05,677.95,655.0,675.25,41696232
SBIN,2024-02-08 05:30:00,680.4,718.9,678.5,699.55,74222434
SBIN,2024-02-09 05:30:00,703.65,728.35,694.2,725.25,43235061
SBIN,2024-02-12 05:30:00,726.0,726.0,704.5,707.9,22873137
SBIN,2024-02-13 05:30:00,708.55,718.0,702.15,713.45,23351472
SBIN,2024-02-14 05:30:00,705.55,748.5,705.55,743.4,36782182
SBIN,2024-02-15 05:30:00,747.7,764.0,741.65,761.7,33941282
SBIN,2024-02-16 05:30:00,763.45,774.6,753.35,754.7,27365121
SBIN,2024-02-19 05:30:00,758.7,765.0,750.0,759.25,13979584
SBIN,2024-02-20 05:30:00,759.05,763.5,754.0,760.1,12528399
SBIN,2024-02-21 05:30:00,760.65,777.5,759.6,771.5,21465311
SBIN,2024-02-22 05:30:00,773.0,773.0,757.0,765.9,18799244
SBIN,2024-02-23 05:30:00,765.9,770.5,755.0,759.05,14143636
SBIN,2024-02-26 05:30:00,755.0,766.35,752.7,758.9,11355186
