ticker,date,open,high,low,close,volume,sector
BAJAJFINSV,2023-10-03 05:30:00,1530.25,1564.2,1527.0,1561.05,1083086,Financial Services
BAJAJFINSV,2023-10-04 05:30:00,1555.0,1555.85,1521.15,1532.55,1614123,Financial Services
BAJAJFINSV,2023-10-05 05:30:00,1540.0,1556.0,1532.3,1542.55,1153064,Financial Services
BAJAJFINSV,2023-10-06 05:30:00,1559.35,1640.7,1551.05,1634.65,7384628,Financial Services
BAJAJFINSV,2023-10-09 05:30:00,1617.15,1628.0,1606.6,1621.55,1712235,Financial Services
BAJAJFINSV,2023-10-10 05:30:00,1630.0,1643.95,1617.0,1633.1,1453653,Financial Services
BAJAJFINSV,2023-10-11 05:30:00,1641.4,1650.95,1633.5,1636.55,952433,Financial Services
BAJAJFINSV,2023-10-12 05:30:00,1637.0,1642.95,1622.85,1634.8,1052767,Financial Services
BAJAJFINSV,2023-10-13 05:30:00,1631.0,1649.0,1620.0,1646.55,1212989,Financial Services
BAJAJFINSV,2023-10-16 05:30:00,1644.0,1649.4,1630.4,1642.35,859548,Financial Services
BAJAJFINSV,2023-10-17 05:30:00,1649.9,1676.75,1645.55,1657.65,1689224,Financial Services
BAJAJFINSV,2023-10-18 05:30:00,1665.0,1665.0,1622.05,1628.2,1230439,Financial Services
BAJAJFINSV,2023-10-19 05:30:00,1625.0,1642.95,1597.4,1634.75,1429935,Financial Services
BAJAJFINSV,2023-10-20 05:30:00,1627.8,1639.75,1615.0,1635.05,1191783,Financial Services
BAJAJFINSV,2023-10-23 05:30:00,1627.0,1651.7,1605.5,1613.15,1093182,Financial Services
BAJAJFINSV,2023-10-25 05:30:00,1612.9,1630.0,1598.85,1611.45,1490405,Financial Services
BAJAJFINSV,2023-10-26 05:30:00,1590.0,1608.4,1552.0,1560.0,1780025,Financial Services
BAJAJFINSV,2023-10-27 05:30:00,1575.6,1593.25,1551.35,1566.4,2003579,Financial Services
BAJAJFINSV,2023-10-30 05:30:00,1568.9,1571.1,1528.0,1561.1,850025,Financial Services
