ticker,date,open,high,low,close,volume,sector
ADANIPORTS,2023-10-03 05:30:00,826.0,836.75,824.25,831.4,2453090,Services
ADANIPORTS,2023-10-04 05:30:00,830.95,845.45,819.35,824.6,4096647,Services
ADANIPORTS,2023-10-05 05:30:00,830.85,832.0,820.25,825.2,2083505,Services
ADANIPORTS,2023-10-06 05:30:00,830.0,836.5,826.4,830.75,1877058,Services
ADANIPORTS,2023-10-09 05:30:00,815.0,818.8,785.0,790.05,5994282,Services
ADANIPORTS,2023-10-10 05:30:00,800.55,823.7,800.55,819.5,7591327,Services
ADANIPORTS,2023-10-11 05:30:00,827.4,827.4,812.35,814.85,3281387,Services
ADANIPORTS,2023-10-12 05:30:00,818.55,823.25,812.55,814.95,2563606,Services
ADANIPORTS,2023-10-13 05:30:00,812.0,824.8,805.85,813.75,3801000,Services
ADANIPORTS,2023-10-16 05:30:00,818.5,818.5,803.25,805.65,2664794,Services
ADANIPORTS,2023-10-17 05:30:00,812.0,814.4,804.0,805.1,2162192,Services
ADANIPORTS,2023-10-18 05:30:00,808.95,809.05,795.4,798.6,2271927,Services
ADANIPORTS,2023-10-19 05:30:00,796.75,797.3,787.45,792.85,2862500,Services
ADANIPORTS,2023-10-20 05:30:00,791.8,803.0,788.65,793.65,2434862,Services
ADANIPORTS,2023-10-23 05:30:00,793.65,795.8,769.9,771.45,2002377,Services
ADANIPORTS,2023-10-25 05:30:00,772.5,783.35,761.05,769.1,2581498,Services
ADANIPORTS,2023-10-26 05:30:00,764.0,771.8,754.5,770.35,3855358,Services
ADANIPORTS,2023-10-27 05:30:00,774.9,786.4,773.05,782.4,2995404,Services
ADANIPORTS,2023-10-30 05:30:00,785.9,794.4,779.8,785.0,3522068,Services
ADANIPORTS,2023-10-31 05:30:00,789.8,791.1,782.5,784.75,2825760,Services
ADANIPORTS,2023-11-01 05:30:00,784.75,790.5,767.2,769.1,2693768,Services
ADANIPORTS,2023-11-02 05:30:00,776.9,783.5,772.05,774.3,1741799,Services
ADANIPORTS,2023-11-03 05:30:00,780.0,798.8,777.3,795.4,4310765,Services
ADANIPORTS,2023-11-06 05:30:00,801.5,806.25,799.3,802.5,2270316,Services
ADANIPORTS,2023-11-07 05:30:00,803.0,808.4,796.0,797.55,2394891,Services
ADANIPORTS,2023-11-08 05:30:00,802.0,823.8,800.05,818.7,5123208,Services
ADANIPORTS,2023-11-09 05:30:00,825.0,827.7,798.1,806.2,4982049,Services
ADANIPORTS,2023-11-10 05:30:00,808.0,818.8,806.2,808.6,3903183,Services
ADANIPORTS,2023-11-12 05:30:00,816.7,816.7,811.0,812.25,265239,Services
ADANIPORTS,2023-11-13 05:30:00,810.0,828.0,807.5,809.85,1050882,Services
ADANIPORTS,2023-11-15 05:30:00,818.0,818.0,809.05,810.75,1694698,Services
ADANIPORTS,2023-11-16 05:30:00,814.4,818.4,808.1,813.6,1689762,Services
ADANIPORTS,2023-11-17 05:30:00,811.7,821.95,809.05,810.05,3218979,Services
ADANIPORTS,2023-11-20 05:30:00,810.05,816.0,801.1,803.6,3227659,Services
ADANIPORTS,2023-11-21 05:30:00,805.0,814.9,799.3,801.35,3643664,Services
ADANIPORTS,2023-11-22 05:30:00,804.0,804.95,788.55,791.9,3212329,Services
ADANIPORTS,2023-11-23 05:30:00,795.0,804.7,791.45,793.1,3776615,Services
ADANIPORTS,2023-11-24 05:30:00,795.9,802.95,785.0,795.55,4421350,Services
ADANIPORTS,2023-11-28 05:30:00,806.0,854.4,806.0,837.7,15929818,Services
ADANIPORTS,2023-11-29 05:30:00,850.0,850.0,833.3,835.55,8057644,Services
ADANIPORTS,2023-11-30 05:30:00,839.0,839.0,823.0,825.5,5998210,Services
ADANIPORTS,2023-12-01 05:30:00,839.2,839.2,825.5,827.8,2932775,Services
ADANIPORTS,2023-12-04 05:30:00,865.0,883.35,858.5,878.65,11064795,Services
ADANIPORTS,2023-12-05 05:30:00,884.0,1024.3,880.0,1013.1,46564412,Services
ADANIPORTS,2023-12-06 05:30:00,1045.0,1082.5,1008.1,1017.95,41008947,Services
ADANIPORTS,2023-12-07 05:30:00,1029.0,1058.75,1021.65,1039.65,14840081,Services
ADANIPORTS,2023-12-08 05:30:00,1048.0,1055.0,992.3,1022.95,12202462,Services
ADANIPORTS,2023-12-11 05:30:00,1026.8,1048.0,1015.65,1031.9,7889666,Services
ADANIPORTS,2023-12-12 05:30:00,1037.05,1048.45,1023.25,1041.95,4902289,Services
ADANIPORTS,2023-12-13 05:30:00,1045.0,1075.0,1028.8,1063.5,8151639,Services
ADANIPORTS,2023-12-14 05:30:00,1080.0,1089.9,1063.0,1074.7,8004131,Services
ADANIPORTS,2023-12-15 05:30:00,1079.0,1086.5,1067.05,1078.55,11672787,Services
ADANIPORTS,2023-12-18 05:30:00,1079.0,1102.4,1072.75,1094.3,5448342,Services
ADANIPORTS,2023-12-19 05:30:00,1095.0,1099.0,1068.6,1074.0,5993252,Services
ADANIPORTS,2023-12-20 05:30:00,1078.0,1083.85,1005.0,1012.15,8467564,Services
