ticker,sector,yearly_return,avg_price,avg_volume,avg_volatility,max_drawdown,sharpe_ratio,total_trading_days
TRENT,Consumer Services,213.75115341654123,3978.438716814159,867057.0663716814,0.3371333922198611,-0.1058914197636581,3.5034135540469764,226
BEL,Services,101.7600574712644,226.80352697095435,20649654.0373444,0.3382465464797081,-0.2031296572280179,2.096304718786117,241
M&M,Automobile,95.97697411213734,2251.245422535212,3093708.2007042253,0.3003680365755916,-0.152333844660802,1.95397939111462,284
BHARTIARTL,Telecommunications,69.599048957095,1292.7936395759716,6037762.265017668,0.2137540492140312,-0.1388684998023824,2.055458553010145,283
POWERGRID,Utilities,68.8549235780506,287.1690909090909,16335880.770909091,0.2501022640361003,-0.1461212204131891,1.8016103057340045,275
BPCL,Energy,67.47715022263885,285.13822222222217,14435805.377777778,0.3618953360093399,-0.2366536018380862,1.30883119925694,270
HEROMOTOCO,Automobile,58.97665472874388,4686.789612676055,732722.8732394367,0.2513015105945983,-0.2699194740370399,1.5116426929580142,284
SUNPHARMA,Healthcare,57.28240395987558,1527.812676056338,2198935.017605634,0.1817402279083264,-0.1223876016572047,1.991034719350398,284
HCLTECH,Information Technology,53.25744732380721,1541.2547535211268,2979915.7077464787,0.221023666873584,-0.2270220588235297,1.5689561288410152,284
NTPC,Utilities,51.51326699834162,345.41836363636367,15438358.792727271,0.2866842051743968,-0.1964124548736462,1.2720225060440609,275
