ticker,ADANIENT,ADANIPORTS,APOLLOHOSP,ASIANPAINT,AXISBANK,BAJAJ-AUTO,BAJAJFINSV,BAJFINANCE,BEL,BHARTIARTL,BPCL,BRITANNIA,CIPLA,COALINDIA,DRREDDY,EICHERMOT,GRASIM,HCLTECH,HDFCBANK,HDFCLIFE,HEROMOTOCO,HINDALCO,HINDUNILVR,ICICIBANK,INDUSINDBK,INFY,ITC,JSWSTEEL,KOTAKBANK,LT,M&M,NESTLEIND,NTPC,ONGC,POWERGRID,RELIANCE,SBILIFE,SBIN,SHRIRAMFIN,SUNPHARMA,TATACONSUM,TATAMOTORS,TATASTEEL,TCS,TECHM,TITAN,TRENT,WIPRO
INDUSINDBK,0.32050726949144565,-0.0007379470575749998,0.11055207689939535,0.10532272203320514,0.44345132271723525,,0.358056527399228,0.11481905392209936,0.12036010876832137,0.2687807616195423,0.13758729363991376,0.07624730696326615,0.09063778533695158,0.13646094633893163,0.05033646366586636,0.1277829448283275,0.24862436550260072,0.0473441907111332,0.17483559319118944,0.19767682585390903,0.18813312037394786,0.19590332688914183,-0.0036184910413734513,0.07838715597947557,1.0,0.08709394692610395,0.10392633509610545,0.3500256890423268,0.4220878263363123,0.36529119026663825,0.2454577071504382,0.14522662816217816,0.1934764214607763,-0.003736218165246643,0.15675130142066968,0.3623163160537921,0.21980863592164415,0.1835992333806969,0.2543611786895715,0.10213596528833442,0.21334050946682004,0.23922881577315352,-0.00398567284278494,0.06487835768877784,0.09786305584192458,0.1878056203273028,0.13807781634414346,0.1212707343024328
INFY,0.1265434026175264,0.01796647162198798,-0.03336866018516364,0.07513675697079095,0.06105680604192466,,0.2525260557539781,-0.04130739632052928,0.013632550088395487,0.27547320869335423,-0.02965834365055737,0.10949541664773633,0.1294099183772601,0.04727991998440489,0.2776672577177525,0.12181753576765021,0.15963450263608558,0.6942815056602873,0.019406268227815472,0.09716707403434512,0.10242875105853505,0.14437371373032593,0.1332659900047459,0.10073306768717422,0.08709394692610395,1.0,0.22941410299753712,0.15136986069167932,0.18786131451969898,0.19825581524152747,0.2540184144823532,0.07697834261855406,-0.058382959559656555,8.609406892619732e-05,0.08537881449088955,0.17973212849133177,0.12962928425846362,0.08123517391995287,0.13208936010788944,0.17421577230070703,0.2528300456774389,0.20500549371915355,-0.11556838495371886,0.6884350828030377,0.6104755377417207,0.20522812417518405,0.11169145138191308,0.5217234839349636
ITC,0.26575718839346496,0.10505149567857505,0.09020054292728595,0.2576158354743393,0.06603998303200308,,0.19550451140197794,0.08823327543608635,0.16671294806631864,0.2835381915978362,0.21606778646361757,0.26944993496713443,0.12766122597889473,0.29740937664525635,0.14133973407045297,0.24311093403027823,0.16543768095631686,0.233646753606796,0.06976631977858376,0.2713791159157818,0.13842428000125212,0.11167536260719409,0.33717226162464614,0.20705317521728717,0.10392633509610545,0.22941410299753712,1.0,0.2149905722860181,0.1484358259064449,0.20986018556621558,0.1587414872016248,0.3297274688720672,0.20725432545126274,0.20821623511682513,0.14566296937262982,0.3028478771498106,0.27125990633824176,0.17034771775101384,0.1962720606007394,0.18654476697540184,0.2568326205625296,0.23796567044736996,0.08630928178205734,0.2518582791105386,0.23994354926246614,0.2581453322584955,0.15410967051347416,0.262938692539193
JSWSTEEL,0.4760060247363537,0.188744528734689,0.24845394383255318,0.30603291859290893,0.3421716381077644,,0.4602988708160569,0.12482443822074589,0.0930592351283054,0.37632785284583126,0.24654333861521935,0.16701186907801116,0.2595041750703482,0.28794503137985955,0.23991940674506393,0.3722267447975702,0.49006088621861943,0.2279458064959102,0.2354771111764266,0.24457262125578233,0.21389256667481768,0.5736369528532579,0.0830262447052423,0.194935965184314,0.3500256890423268,0.15136986069167932,0.2149905722860181,1.0,0.3817446003704753,0.5170349315428789,0.4267861264243176,0.1353198184200528,0.34819870666794744,0.21582852792085785,0.3621233287894141,0.4609646059717677,0.20224820542889327,0.3035138506373008,0.4836923945480875,0.32925198568826275,0.22352618026742058,0.4173193005532546,0.09757270260050947,0.18165936053822124,0.23490931137409,0.29673249823770226,0.28431665269650075,0.34442145731435164
KOTAKBANK,0.2337526301249154,0.036334968212979005,0.10080756236080375,0.13481876804112616,0.24074280179279878,,0.38733638463525727,0.10826515940564145,0.13056994638796546,0.32668131335457395,0.03752878261694061,0.24019834473683008,0.07290545990165634,0.05781392126802693,0.025132748679729304,0.2225984060794986,0.22759146206149283,0.20974961013868482,0.22045268394968703,0.2790128712716554,0.17715460777424172,0.19572530689146492,0.14923737351016297,0.3098724868320128,0.4220878263363123,0.18786131451969898,0.1484358259064449,0.3817446003704753,1.0,0.28307812915026304,0.2882064004653259,0.2532885827827239,0.07150531025447564,-0.046340778087852356,0.08875701877548489,0.34157079256776496,0.2935729301843996,0.21416365762220907,0.258006728970162,0.18855966932402712,0.20492465349552655,0.1910972813927024,0.08433137018244699,0.157508447404943,-0.022608395498352127,0.09765531498850842,0.05914631377385828,0.21961274519516363
LT,0.5658738265589798,0.29777447474769797,0.11185046054202613,0.16704297441715524,0.3683273904525574,,0.46654069080233984,0.09469918345995153,0.17492939401636512,0.35140410593108445,0.21436851220321743,0.08616278848171142,0.25836625751333975,0.36874151760601925,0.18757211468647783,0.35746460657814055,0.34973580661701686,0.1860313629978725,0.26272388687483594,0.29479653770777425,0.2106061632374594,0.3592447135526498,-0.0652775958312693,0.25165833053502595,0.36529119026663825,0.19825581524152747,0.20986018556621558,0.5170349315428789,0.28307812915026304,1.0,0.36028771465138437,0.06911127965281756,0.3195817052346165,0.32823679770612213,0.2556907072002546,0.5986936483135064,0.3213008430628349,0.24756533053684593,0.510494783785308,0.21784567621707165,0.15773752230595706,0.3668506368245507,0.07229528636938087,0.19265154232082465,0.19527078976549186,0.17887585237258247,0.1419487853978062,0.3264891548758078
M&M,0.333229853908966,0.16308872108302108,0.19854191591249537,0.10958473963223907,0.20887451339175764,,0.3389791558517517,-0.034951416897688325,0.11500663803998216,0.31269217663486903,0.17230161504574468,0.09670111148404399,0.21753912937035544,0.16997023301093403,0.18841112825587855,0.3505116124556918,0.2922576785717844,0.20770638050063314,0.25356848641958063,0.22739536388158857,0.358780669707729,0.26729566348359407,0.1005564446187521,0.19738487662612972,0.2454577071504382,0.2540184144823532,0.1587414872016248,0.4267861264243176,0.2882064004653259,0.36028771465138437,1.0,0.23334422879346198,0.2995939706161417,0.12399290372820718,0.2722267730791304,0.3333012180019193,0.1923233391079028,0.3040245877970599,0.42046177447752453,0.29543375730601174,0.20797978825039395,0.36376044442463135,0.0440966198558931,0.17545559800108798,0.20835670130486117,0.30870733186858046,0.19964688678719036,0.2981816321220347
NESTLEIND,0.09631945398911995,0.04735087288450286,0.1675075202415319,0.26181043015889344,0.10107079844620315,,0.30484064313211867,0.05265855253471611,0.143445292439243,0.09674497891608085,0.19498661160639263,0.4888213465724493,0.1551723462413126,0.009980300094502388,0.24873579185227324,0.1555772761024976,0.2660447891014016,0.10254259235323399,0.023988808387906135,0.12462874181352615,0.32173777697504063,0.061827309167916025,0.5134177130921489,0.15955313267790772,0.14522662816217816,0.07697834261855406,0.3297274688720672,0.1353198184200528,0.2532885827827239,0.06911127965281756,0.23334422879346198,1.0,0.1606361092026436,-0.09574873785366989,0.14596947080848857,0.1612281601642888,0.1885809046375815,0.1867202435430475,0.13745554705639976,0.19464586873047596,0.3753105877205096,0.12316663551947696,0.017822416243485226,0.14563295571366439,0.008098920600560732,0.23594632215532432,0.12624461605181286,0.17366765123642827
NTPC,0.32554687787048037,0.3240322046799267,0.06028324596310557,0.24691591392540346,0.20486629615959398,,0.2269635920086659,0.02991399594211322,0.20022428195332778,0.18721997146735614,0.4824477057027465,0.0847356460360666,0.15986373833507236,0.4329463109657894,0.17592074331743018,0.13664343203649384,0.24384568237095916,-0.00957453925485829,0.18011057303233294,0.21092347678263904,0.2189074360560699,0.29792762971340675,0.11637503300530463,0.17838488982208386,0.1934764214607763,-0.058382959559656555,0.20725432545126274,0.34819870666794744,0.07150531025447564,0.3195817052346165,0.2995939706161417,0.1606361092026436,1.0,0.3831196553000823,0.5171403105992313,0.37145708557730595,0.06163246030309249,0.32338400147760005,0.31199425363569566,0.20984285133727157,0.19172957994336035,0.2943068959400675,0.09550838143277378,0.041627464351242136,0.08535416282079158,0.2709839568048728,0.1444552062263223,0.14054081717967254
ONGC,0.2208323763449664,0.4487157540178228,0.08989979282687759,0.005772089050488576,0.021785715936279718,,0.12877243999143068,-0.03558557810165639,0.17684996579043077,0.16013815557562977,0.27860032453362915,-0.061980374905716826,0.07346612445518017,0.6035428035638795,0.09066457088240484,0.16841603841505412,0.15928689562021914,0.018387058370882562,0.1617454435899849,0.13706404640263037,0.06917093231203181,0.11614698283375209,-0.05970637867032951,0.2225552044121343,-0.003736218165246643,8.609406892619732e-05,0.20821623511682513,0.21582852792085785,-0.046340778087852356,0.32823679770612213,0.12399290372820718,-0.09574873785366989,0.3831196553000823,1.0,0.3121689386743894,0.3074173497833384,0.10752256292961063,0.26472243895917574,0.15377128031051165,0.029317480825570192,0.01839694713529585,0.26183449558386185,0.15380501870591276,0.08322066021095131,0.11198048600148466,0.07342610326906117,0.11569923795142294,0.10584034783894093
