ticker,sector,yearly_return,avg_price,avg_volume,avg_volatility,max_drawdown,sharpe_ratio,total_trading_days
ADANIENT,Materials,-6.670855586972458,2953.0640845070425,2356295.1056338027,0.3595624554618121,-0.4009601536245797,-0.008960669152751,284
ADANIPORTS,Services,36.72720712051961,1261.9670818505338,4347815.832740214,0.3295450777475918,-0.2851303336163258,0.8034142750457798,281
APOLLOHOSP,Healthcare,27.28879946082694,5878.097461928935,454184.5228426396,0.2208003845857823,-0.1263682571906887,1.286283190822752,197
ASIANPAINT,Consumer Goods,-21.93504586576567,3019.3827464788733,1214614.3450704226,0.1832291152370952,-0.2867717252419637,-1.243757763817645,284
AXISBANK,Financial Services,9.73536333509439,1126.4659010600706,9488989.879858658,0.2409531398766883,-0.1451453731116678,0.2567604843827992,283
BAJAJ-AUTO,Automobile,28.86702747959215,5648.231896551723,481355.7931034483,0.2100610086314124,-0.0418905871422587,4.780787390330881,58
BAJAJFINSV,Financial Services,2.5495659972454408,1653.2320422535213,1569381.8943661973,0.2128617993307316,-0.2195504053314768,-0.0112090535420429,284
BAJFINANCE,Financial Services,-2.008138644923198,6519.418181818181,1169005.9090909092,0.2070685206781231,-0.0442785429270176,-0.9765818539344302,33
BEL,Services,101.7600574712644,226.80352697095435,20649654.0373444,0.3382465464797081,-0.2031296572280179,2.096304718786117,241
BHARTIARTL,Telecommunications,69.599048957095,1292.7936395759716,6037762.265017668,0.2137540492140312,-0.1388684998023824,2.055458553010145,283
BPCL,Energy,67.47715022263885,285.13822222222217,14435805.377777778,0.3618953360093399,-0.2366536018380862,1.30883119925694,270
BRITANNIA,Consumer Goods,7.850159605823678,5250.817077464788,345995.8591549296,0.1899027311909367,-0.2548382342674969,0.187188977420987,284
CIPLA,Healthcare,25.67636117686845,1430.2302816901408,1817625.088028169,0.2482735326323579,-0.1560547456114251,0.7206603068463806,284
COALINDIA,Energy,41.8465227817746,435.4297872340426,11651362.092198582,0.3178025345645244,-0.2487046632124349,0.97764661154532,282
DRREDDY,Healthcare,11.178753867843358,1232.324823943662,2062054.764084507,0.1932120780996014,-0.1550028672769365,0.3225679560575259,284
EICHERMOT,Automobile,48.77961448946708,4321.183802816901,635657.5774647887,0.2479608227088612,-0.134893011350724,1.315896332376192,284
GRASIM,Materials,35.781988044977645,2354.8679577464786,800653.352112676,0.224845919943871,-0.1198593406593405,1.0833733019951517,284
HCLTECH,Information Technology,53.25744732380721,1541.2547535211268,2979915.7077464787,0.221023666873584,-0.2270220588235297,1.5689561288410152,284
HDFCBANK,Financial Services,15.752130234408671,1580.5343866171004,17362721.7732342,0.2008696835946748,-0.1867778265321045,0.5160815464634165,269
HDFCLIFE,Financial Services,8.625996369663024,642.3647887323943,4379828.309859155,0.2275785637199089,-0.2444334487877291,0.2174554466504635,284
HEROMOTOCO,Automobile,58.97665472874388,4686.789612676055,732722.8732394367,0.2513015105945983,-0.2699194740370399,1.5116426929580142,284
HINDALCO,Materials,35.86831961662674,609.3469964664312,6859726.908127208,0.2974123070820914,-0.183387358184765,0.8746852076478406,283
HINDUNILVR,Consumer Goods,-0.9579164810239414,2533.715845070423,1872679.852112676,0.1803997117262011,-0.2132208482607186,-0.2102746921483223,284
ICICIBANK,Financial Services,35.91938742954376,1109.6032258064515,14131324.781362006,0.1869078205724441,-0.0797938377036229,1.3056456918405974,279
INDUSINDBK,Financial Services,-30.45840880590776,1443.6975177304962,3611732.276595745,0.2659240537796148,-0.4188649080735414,-1.1015311363495195,282
INFY,Information Technology,32.6534170153417,1629.8769366197184,6755539.116197183,0.220600514336574,-0.194165775246466,0.9907781726801748,284
ITC,Consumer Goods,7.936327458783395,455.0523381294964,13113408.694244605,0.1764686279614855,-0.1548454688318488,0.197224706675778,278
JSWSTEEL,Materials,26.88737422914638,874.2934859154929,2225052.3274647887,0.2542083601025844,-0.1137034514078107,0.753132351407888,284
KOTAKBANK,Financial Services,1.9918357893517904,1773.4174911660778,5121173.671378092,0.2187803677108873,-0.194993103807218,-0.0193111526173766,283
LT,Construction,17.253721630196047,3483.046126760564,2418356.5035211267,0.2569619193228172,-0.147615945805107,0.4771602945889721,284
M&M,Automobile,95.97697411213734,2251.245422535212,3093708.2007042253,0.3003680365755916,-0.152333844660802,1.95397939111462,284
NESTLEIND,Consumer Goods,0.707141320714141,2490.118485915493,932418.3204225352,0.1912548535401895,-0.2078388677191068,-0.1210696332924751,284
NTPC,Utilities,51.51326699834162,345.41836363636367,15438358.792727271,0.2866842051743968,-0.1964124548736462,1.2720225060440609,275
ONGC,Energy,33.04442036836403,259.450184501845,16785974.361623615,0.3147122189757269,-0.2914411119239214,0.8224166120272142,271
POWERGRID,Utilities,68.8549235780506,287.1690909090909,16335880.770909091,0.2501022640361003,-0.1461212204131891,1.8016103057340045,275
RELIANCE,Energy,9.172792214514974,1388.0597535211266,12572108.193661973,0.2037641741251206,-0.2360547192204385,0.2380725001973416,284
SBILIFE,Financial Services,14.909667685403694,1528.8788732394366,1349238.2605633803,0.2364926515909957,-0.233686775723952,0.426751170442225,284
SBIN,Financial Services,35.34289742101333,741.4357913669064,16245643.75179856,0.222869161705929,-0.1398354876615752,1.082467306301835,278
SHRIRAMFIN,Financial Services,48.28949764562034,2571.638204225352,1420213.38028169,0.3391757945501623,-0.2277143132742632,1.0452433030251702,284
SUNPHARMA,Healthcare,57.28240395987558,1527.812676056338,2198935.017605634,0.1817402279083264,-0.1223876016572047,1.991034719350398,284
